City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
250,Kirovskiy,RU,2020-02-16 22:05:33,45.09,133.51,6.24,95,100,10.78
251,Riyadh,SA,2020-02-16 22:01:24,24.69,46.72,66.2,16,13,10.29
252,Alofi,NU,2020-02-16 22:02:50,-19.06,-169.92,82.4,78,37,20.8
253,Pervoye Maya,RU,2020-02-16 22:05:33,56.16,44.72,32.0,90,90,13.42
254,Pochutla,MX,2020-02-16 22:02:31,15.74,-96.47,91.4,43,20,9.01
255,Bayji,IQ,2020-02-16 22:05:34,34.93,43.49,51.87,83,100,8.86
256,La Ronge,CA,2020-02-16 22:02:14,55.1,-105.28,-0.4,77,75,10.29
257,Cherskiy,RU,2020-02-16 22:02:15,68.75,161.3,-27.24,95,100,8.66
258,Saldanha,ZA,2020-02-16 22:02:01,-33.01,17.94,64.4,88,0,3.36
259,Hasaki,JP,2020-02-16 22:01:46,35.73,140.83,50.0,100,40,5.82
260,Henties Bay,NA,2020-02-16 22:02:44,-22.12,14.28,64.99,93,61,3.0
261,Aykhal,RU,2020-02-16 22:05:35,66.0,111.5,-2.2,84,75,6.71
262,Goundam,ML,2020-02-16 22:05:35,16.41,-3.67,78.08,8,100,9.69
263,Pangnirtung,CA,2020-02-16 22:02:37,66.15,-65.71,-25.6,67,90,2.17
264,Canguaretama,BR,2020-02-16 22:05:36,-6.38,-35.13,84.2,74,20,13.87
265,Novo Aripuana,BR,2020-02-16 22:05:36,-5.12,-60.38,84.87,76,100,3.65
266,Hereford,GB,2020-02-16 22:05:36,52.06,-2.71,44.01,75,20,5.01
267,Maracacume,BR,2020-02-16 22:05:36,-2.04,-45.96,77.16,94,100,4.65
268,Hobyo,SO,2020-02-16 22:02:24,5.35,48.53,76.33,76,30,14.27
269,Soyo,AO,2020-02-16 22:05:37,-6.13,12.37,80.24,83,98,5.93
270,Solnechnyy,RU,2020-02-16 22:02:51,50.72,136.63,2.98,80,0,6.02
271,Tiksi,RU,2020-02-16 22:01:46,71.69,128.87,-2.45,95,100,5.82
272,Lavrentiya,RU,2020-02-16 22:01:49,65.58,-171.0,-2.88,92,100,12.93
273,Tahta,EG,2020-02-16 22:02:13,26.77,31.5,59.0,51,0,10.29
274,Isangel,VU,2020-02-16 22:02:52,-19.55,169.27,84.2,70,20,6.93
275,Kavieng,PG,2020-02-16 22:02:15,-2.57,150.8,83.19,75,87,9.22
276,Itoman,JP,2020-02-16 22:05:38,26.12,127.67,57.2,62,75,24.16
277,Atambua,ID,2020-02-16 22:03:08,-9.11,124.89,76.03,85,95,2.86
278,Talara,PE,2020-02-16 21:58:31,-4.58,-81.27,62.6,100,100,13.87
279,Havoysund,NO,2020-02-16 22:02:52,71.0,24.66,28.4,92,90,29.97
280,Xining,CN,2020-02-16 22:05:39,36.62,101.77,12.34,41,0,3.02
281,Manzhouli,CN,2020-02-16 22:05:39,49.6,117.43,1.18,92,0,5.37
282,Safford,US,2020-02-16 22:05:39,32.83,-109.71,68.0,27,1,3.36
283,Canutama,BR,2020-02-16 22:05:40,-6.53,-64.38,83.52,89,100,1.14
284,Shetpe,KZ,2020-02-16 22:05:40,44.17,52.12,33.89,83,27,7.7
285,Gigmoto,PH,2020-02-16 22:05:40,13.78,124.39,79.97,78,22,18.01
286,Yarmouth,US,2020-02-16 22:01:47,41.71,-70.23,41.0,77,1,5.82
287,Hamilton,US,2020-02-16 22:02:53,39.18,-84.53,50.0,46,75,3.36
288,Nizwa,OM,2020-02-16 22:02:23,22.93,57.53,60.91,36,0,2.06
289,Cortez,US,2020-02-16 22:05:41,37.35,-108.59,53.6,25,20,4.7
290,Dargaville,NZ,2020-02-16 22:05:41,-35.93,173.88,73.08,64,68,5.75
291,Novaya Zaimka,RU,2020-02-16 22:05:42,56.49,66.92,22.17,96,100,5.01
292,College,US,2020-02-16 22:02:49,64.86,-147.8,-11.99,74,1,1.83
293,Glomfjord,NO,2020-02-16 22:05:42,66.82,13.97,34.0,100,75,2.24
294,Taoudenni,ML,2020-02-16 22:03:09,22.68,-3.98,77.9,11,96,13.13
295,Pontes E Lacerda,BR,2020-02-16 22:00:44,-15.23,-59.34,88.39,67,100,2.95
296,Niquelandia,BR,2020-02-16 22:04:16,-14.47,-48.46,77.83,89,95,1.95
297,Ilulissat,GL,2020-02-16 22:01:02,69.22,-51.1,8.6,78,100,12.75
298,Namtsy,RU,2020-02-16 22:02:17,62.72,129.67,-16.6,75,100,6.71
299,Margate,GB,2020-02-16 22:02:47,51.38,1.39,48.2,75,67,26.4
300,Conakry,GN,2020-02-16 22:05:43,9.54,-13.68,82.4,83,6,4.7
301,Ketchikan,US,2020-02-16 22:05:44,55.34,-131.65,39.2,93,75,6.93
302,Makakilo City,US,2020-02-16 22:02:19,21.35,-158.09,77.0,69,90,12.75
303,Hurghada,EG,2020-02-16 22:05:44,27.26,33.81,64.4,48,0,17.22
304,Port Pirie,AU,2020-02-16 22:05:44,-33.18,138.02,60.8,87,0,3.36
